"lista","directorio","secuencia_p","orden","clase","dominio","mes","estrato1","sex","age","p6050","p6090","p6100","p6210","p6210s1","p6240","oficio","p6426","relab","p6500","p6510","p6510s1","p6510s2","p6545","p6545s1","p6545s2","p6580","p6580s1","p6580s2","p6585s1","p6585s1a1","p6585s1a2","p6585s2","p6585s2a1","p6585s2a2","p6585s3","p6585s3a1","p6585s3a2","p6585s4","p6585s4a1","p6585s4a2","p6590","p6590s1","p6600","p6600s1","p6610","p6610s1","p6620","p6620s1","p6630s1","p6630s1a1","p6630s2","p6630s2a1","p6630s3","p6630s3a1","p6630s4","p6630s4a1","p6630s6","p6630s6a1","p6750","p6760","p550","hoursWorkUsual","p6870","p6920","p7040","hoursWorkActualSecondJob","p7050","p7070","p7090","p7110","p7120","p7140s1","p7140s2","p7150","p7160","p7495","p7500s1","p7500s1a1","p7500s2","p7500s2a1","p7500s3","p7500s3a1","p7505","p7510s1","p7510s1a1","p7510s2","p7510s2a1","p7510s3","p7510s3a1","p7510s5","p7510s5a1","p7510s6","p7510s6a1","p7510s7","p7510s7a1","pet","impa","isa","ie","iof1","iof2","iof3h","iof3i","iof6","cclasnr2","cclasnr3","cclasnr4","cclasnr6","cclasnr7","cclasnr8","cclasnr11","impaes","isaes","iees","iof1es","iof2es","iof3hes","iof3ies","iof6es","ingtotob","ingtotes","ingtot","fex_c","depto","fex_dpto","fweight","maxEducLevel","college","regSalud","cotPension","wap","ocu","dsi","pea","totalHoursWorked","formal","informal","cuentaPropia","microEmpresa","sizeFirm","y_salary_m","y_salary_m_hu","y_ingLab_m","y_horasExtras_m","y_especie_m","y_vivienda_m","y_otros_m","y_auxilioAliment_m","y_auxilioTransp_m","y_subFamiliar_m","y_subEducativo_m","y_primas_m","y_bonificaciones_m","y_primaServicios_m","y_primaNavidad_m","y_primaVacaciones_m","y_viaticos_m","y_accidentes_m","y_salarySec_m","y_ingLab_m_ha","y_gananciaNeta_m","y_gananciaNetaAgro_m","y_gananciaIndep_m","y_gananciaIndep_m_hu","y_total_m","y_total_m_ha"
2,4514331,1,1,1,"BOGOTA",1,2,1,36,1,1,2,5,11,1,39,166,2,1300000,2,0,NA,2,0,NA,2,0,NA,1,220000,2,2,0,NA,1,2e+05,2,2,0,NA,2,0,2,0,2,0,2,0,1,650000,1,8e+05,2,0,2,0,2,0,NA,NA,NA,45,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1840833.33333333,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1840833.33333333,NA,1840833.33333333,254.687742271476,11,254.687742271476,255,6,1,2,1,1,1,0,1,45,1,0,0,0,5,1300000,6740.74072265625,1620833.25,NA,NA,NA,NA,220000,NA,2e+05,NA,NA,NA,650000,8e+05,NA,NA,NA,NA,8404.3203125,NA,NA,NA,NA,1620833.25,8404.3203125
6,4514332,1,2,1,"BOGOTA",1,2,1,35,2,1,1,5,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,737717,NA,737717,429.27183342678,11,429.27183342678,429,6,1,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,4514333,1,2,1,"BOGOTA",1,2,0,49,2,1,1,5,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1500000,2,0,2,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,0,0,0,0,1500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1500000,NA,1500000,194.208921972393,11,194.208921972393,194,6,1,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,4514333,1,1,1,"BOGOTA",1,2,1,51,1,1,1,6,3,1,85,12,1,1200000,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,1,1150000,2,0,2,0,2,0,2,0,NA,NA,NA,48,4,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,1,1,5e+05,2,0,2,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1378973.33333333,0,0,0,0,0,0,5e+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1878973.33333333,NA,1878973.33333333,194.208921972393,11,194.208921972393,194,7,0,1,1,1,1,0,1,48,1,0,0,0,3,1200000,5833.33349609375,1378973.375,NA,NA,NA,NA,NA,83140,NA,NA,NA,NA,1150000,NA,NA,NA,NA,NA,6703.3427734375,NA,NA,NA,NA,1378973.375,6703.3427734375
10,4514333,1,3,1,"BOGOTA",1,2,0,23,3,1,1,6,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,194.208921972393,11,194.208921972393,194,7,0,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,4514334,1,1,1,"BOGOTA",1,2,1,45,1,1,1,3,5,1,45,15,1,737717,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,1,750000,2,0,2,0,2,0,2,0,NA,NA,NA,56,3,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,883357,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,883357,NA,883357,243.45515246432,11,243.45515246432,243,4,0,1,1,1,1,0,1,56,1,0,0,1,2,737717,3073.82080078125,883357,NA,NA,NA,NA,NA,83140,NA,NA,NA,NA,750000,NA,NA,NA,NA,NA,3680.65405273438,NA,NA,NA,NA,883357,3680.65405273438
15,4514334,1,2,1,"BOGOTA",1,2,0,45,2,1,1,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,243.45515246432,11,243.45515246432,243,7,0,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,4514335,1,1,1,"BOGOTA",1,2,1,61,1,1,3,3,3,1,53,120,1,7e+05,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,NA,NA,NA,40,7,2,2,NA,NA,0,2,NA,NA,1,1,2,2,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,7e+05,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,5e+05,NA,NA,NA,NA,NA,7e+05,5e+05,1200000,230.177656890553,11,230.177656890553,230,3,0,3,2,1,1,0,1,40,0,1,0,0,4,7e+05,4083.33325195312,7e+05,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4083.33325195312,NA,NA,NA,NA,7e+05,4083.33325195312
22,4514338,1,2,1,"BOGOTA",1,2,0,35,2,1,2,6,5,6,13,24,2,1700000,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,29000,2,2,0,NA,2,0,2,0,2,0,2,0,1,850000,1,850000,1,850000,2,0,2,0,NA,NA,NA,48,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1941500,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1941500,NA,1941500,341.979787849128,11,341.979787849128,342,7,0,2,1,1,1,0,1,48,1,0,0,0,5,1700000,8263.888671875,1941500.125,NA,NA,NA,NA,NA,NA,29000,NA,NA,NA,850000,850000,850000,NA,NA,NA,9437.84765625,NA,NA,NA,NA,1941500.125,9437.84765625
23,4514339,1,1,1,"BOGOTA",1,2,0,35,1,1,1,5,11,1,42,36,1,950000,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,0,1,1,58000,2,2,0,NA,2,0,2,0,2,0,2,0,1,9e+05,2,0,2,0,2,0,2,0,NA,NA,NA,40,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,0,2,0,1,1083000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1083000,NA,1083000,352.079215448786,11,352.079215448786,352,6,1,1,1,1,1,0,1,40,1,0,0,0,5,950000,5541.66650390625,1083000,NA,NA,NA,NA,NA,0,58000,NA,NA,NA,9e+05,NA,NA,NA,NA,NA,6317.5,NA,NA,NA,NA,1083000,6317.5
26,4514339,1,2,1,"BOGOTA",1,2,1,39,2,1,1,6,7,4,33,94,1,1450000,1,0,1,2,0,NA,2,0,NA,2,0,NA,1,0,1,1,58000,2,2,0,NA,1,0,2,0,2,0,2,0,1,1300000,2,0,2,0,2,0,2,0,NA,NA,NA,44,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,150000,2,0,1,1616333.33333333,0,0,0,0,0,0,0,NA,NA,1,NA,NA,NA,NA,NA,NA,1e+05,NA,NA,NA,NA,NA,1616333.33333333,1e+05,1716333.33333333,352.079215448786,11,352.079215448786,352,7,0,1,1,1,1,0,1,44,1,0,0,0,5,1450000,7689.39404296875,1616333.375,0,0,NA,NA,NA,0,58000,NA,NA,NA,1300000,NA,NA,NA,NA,NA,8571.46484375,NA,NA,NA,NA,1616333.375,8571.46484375
29,4514341,1,1,1,"BOGOTA",1,2,0,20,1,1,1,5,11,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,0,2,0,1,150000,1,1,4e+05,2,0,2,0,2,0,2,0,2,0,1,NA,NA,NA,0,0,183333.333333333,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,183333.333333333,NA,183333.333333333,296.937337274216,11,296.937337274216,297,6,1,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
31,4514342,1,2,1,"BOGOTA",1,2,1,29,3,2,NA,6,2,4,37,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,1,NA,40,1,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,1e+06,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,1e+06,254.687742271476,11,254.687742271476,255,7,0,NA,2,1,1,0,1,40,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,1e+06,5833.33349609375,1e+06,5833.33349609375
34,4514343,1,1,1,"BOGOTA",1,2,1,29,1,1,1,5,11,4,45,24,1,750000,2,0,NA,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,29000,2,2,0,NA,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,2,0,NA,NA,NA,54,2,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,779000,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,779000,NA,779000,429.27183342678,11,429.27183342678,429,6,1,1,1,1,1,0,1,54,1,0,0,1,2,750000,3240.74072265625,779000,NA,NA,NA,NA,NA,NA,29000,NA,NA,NA,NA,NA,NA,NA,NA,NA,3366.04931640625,NA,NA,NA,NA,779000,3366.04931640625
36,4514344,1,3,1,"BOGOTA",1,2,0,21,3,2,NA,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,NA,6e+05,205.425424579072,11,205.425424579072,205,7,0,NA,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,4514344,1,1,1,"BOGOTA",1,2,1,44,1,2,NA,5,11,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1e+06,2,0,2,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,0,0,0,0,1e+06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1e+06,NA,1e+06,205.425424579072,11,205.425424579072,205,6,1,NA,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,4514344,1,2,1,"BOGOTA",1,2,0,44,2,2,NA,4,8,6,57,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,1,NA,42,1,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,3e+05,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,NA,3e+05,205.425424579072,11,205.425424579072,205,5,0,NA,2,1,1,0,1,42,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+05,NA,3e+05,1666.66662597656,3e+05,1666.66662597656
39,4514345,1,5,1,"BOGOTA",1,2,1,31,3,1,1,5,11,6,45,24,1,0,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,NA,NA,NA,55,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,0,2,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,2121000,NA,NA,NA,NA,NA,NA,NA,0,2121000,2121000,173.941869400003,11,173.941869400003,174,6,1,1,1,1,1,0,1,55,1,0,0,0,5,NA,NA,NA,NA,NA,NA,NA,NA,83140,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,4514345,1,3,1,"BOGOTA",1,2,1,23,3,1,1,6,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,6e+05,1,1200000,1,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,173.941869400003,11,173.941869400003,174,7,0,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,4514346,1,1,1,"BOGOTA",1,2,1,55,1,1,3,5,11,1,84,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,48,2,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,0,0,NA,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,9e+05,NA,NA,NA,NA,NA,NA,NA,0,9e+05,9e+05,238.640556816578,11,238.640556816578,239,6,1,3,2,1,1,0,1,48,0,1,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,4514348,1,3,1,"BOGOTA",1,2,0,29,3,1,3,5,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,1,3600000,2,0,1,1100000,2,0,2,0,2,0,1,NA,NA,NA,0,0,3e+05,91666.6666666667,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,391666.666666667,NA,391666.666666667,347.558417964202,11,347.558417964202,348,6,1,3,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,4514348,1,1,1,"BOGOTA",1,2,0,56,1,1,1,3,5,1,55,30,1,737717,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,1,0,2,0,2,0,2,0,2,0,NA,NA,NA,48,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,820857,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,820857,NA,820857,347.558417964202,11,347.558417964202,348,4,0,1,1,1,1,0,1,48,1,0,0,0,5,737717,3586.12426757812,820857,NA,NA,NA,NA,NA,83140,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,3990.27709960938,NA,NA,NA,NA,820857,3990.27709960938
50,4514348,1,2,1,"BOGOTA",1,2,1,54,2,1,1,5,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,347.558417964202,11,347.558417964202,348,6,1,1,NA,1,0,1,1,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,4514349,1,3,1,"BOGOTA",1,2,1,23,3,1,1,6,4,1,39,51,1,737717,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,1,144000,2,0,1,2e+05,2,0,1,737717,2,0,2,0,2,0,2,0,NA,NA,NA,40,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,9e+05,1,3400000,1,882333.416666667,0,344000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1226333.41666667,NA,1226333.41666667,243.471239664797,11,243.471239664797,243,7,0,1,1,1,1,0,1,40,1,0,0,0,5,737717,4303.34912109375,882333.4375,NA,144000,NA,NA,NA,83140,NA,NA,NA,NA,737717,NA,NA,NA,NA,NA,5146.94482421875,NA,NA,NA,NA,882333.4375,5146.94482421875
53,4514349,1,2,1,"BOGOTA",1,2,1,30,3,1,1,5,11,1,53,8,1,8e+05,2,0,NA,2,0,NA,2,0,NA,2,0,NA,1,83140,2,2,0,NA,2,0,NA,1,288000,2,0,2,0,2,0,1,8e+05,2,0,2,0,2,0,2,0,NA,NA,NA,54,4,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,2,0,1,9e+05,1,949806.666666667,0,288000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1237806.66666667,NA,1237806.66666667,243.471239664797,11,243.471239664797,243,6,1,1,1,1,1,0,1,54,1,0,0,0,3,8e+05,3456.7900390625,949806.6875,NA,288000,NA,NA,NA,83140,NA,NA,NA,NA,8e+05,NA,NA,NA,NA,NA,4104.10302734375,NA,NA,NA,NA,949806.6875,4104.10302734375
54,4514350,1,1,1,"BOGOTA",1,2,0,50,1,1,1,6,2,1,45,72,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,1,NA,48,1,2,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,2,NA,0,NA,0,NA,0,NA,0,NA,0,NA,0,1,6e+05,0,NA,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,NA,6e+05,254.687742271476,11,254.687742271476,255,7,0,1,2,1,1,0,1,48,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6e+05,NA,6e+05,2916.66674804688,6e+05,2916.66674804688
55,4514350,1,2,1,"BOGOTA",1,2,1,28,3,1,1,6,2,1,39,24,1,8e+05,1,0,2,2,0,NA,2,0,NA,1,0,2,1,83140,2,2,0,NA,2,0,NA,2,0,2,0,2,0,2,0,1,8e+05,2,0,2,0,2,0,2,0,NA,NA,NA,48,9,1,2,NA,NA,0,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,0,NA,0,1,2,0,2,0,2,0,2,0,1,0,2,0,1,949806.666666667,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,949806.666666667,NA,949806.666666667,254.687742271476,11,254.687742271476,255,7,0,1,1,1,1,0,1,48,1,0,0,0,5,8e+05,3888.88891601562,949806.6875,0,NA,NA,NA,0,83140,NA,NA,NA,NA,8e+05,NA,NA,NA,NA,NA,4617.11572265625,NA,NA,NA,NA,949806.6875,4617.11572265625
